id, year, conflict_name, country, date_start, best, type_of_violence 
141164, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-06T00:00:00, 1, 3 
141165, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-14T00:00:00, 2, 3 
141166, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-13T00:00:00, 10, 3 
141167, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-15T00:00:00, 2, 3 
141168, 1999, Indonesia:Aceh, Indonesia, 1999-08-25T00:00:00, 1, 1 
141169, 2000, Indonesia:Aceh, Indonesia, 2000-03-24T00:00:00, 0, 1 
141171, 1999, Christians (Indonesia) - Muslims (Indonesia), Indonesia, 1999-04-10T00:00:00, 3, 2 
141173, 1999, Government of Indonesia - Civilians, Indonesia, 1999-05-31T00:00:00, 6, 3 
141174, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-07T00:00:00, 3, 3 
141175, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-15T00:00:00, 2, 3 
141347, 2001, Dayak - Madurese, Indonesia, 2001-02-21T00:00:00, 10, 2 
141348, 1999, Indonesia:Aceh, Indonesia, 1999-12-07T00:00:00, 0, 1 
141349, 2000, Indonesia:Aceh, Indonesia, 2000-05-08T00:00:00, 0, 1 
141352, 2001, Dayak - Madurese, Indonesia, 2001-02-18T00:00:00, 0, 2 
141353, 2001, Dayak - Madurese, Indonesia, 2001-03-07T00:00:00, 2, 2 
141354, 2001, Dayak - Madurese, Indonesia, 2001-03-17T00:00:00, 1, 2 
141355, 2001, Dayak - Madurese, Indonesia, 2001-03-07T00:00:00, 1, 2 
163629, 2004, Indonesia:Aceh, Indonesia, 2004-01-22T00:00:00, 1, 1 
141399, 1999, Indonesia:Aceh, Indonesia, 1999-06-11T00:00:00, 2, 1 
141400, 1999, Indonesia:Aceh, Indonesia, 1999-06-01T00:00:00, 2, 1 
141401, 1999, Indonesia:Aceh, Indonesia, 1999-06-22T00:00:00, 1, 1 
141403, 1999, Indonesia:Aceh, Indonesia, 1999-06-19T00:00:00, 12, 1 
141407, 1999, Indonesia:Aceh, Indonesia, 1999-06-19T00:00:00, 3, 1 
141408, 2000, Indonesia:Aceh, Indonesia, 2000-05-18T00:00:00, 8, 1 
141809, 1994, Indonesia:East Timor, Indonesia, 1994-01-01T00:00:00, 1, 1 
164043, 1996, Government of Indonesia - Civilians, Indonesia, 1996-01-01T00:00:00, 2, 3 
141808, 1995, Indonesia:East Timor, Indonesia, 1995-01-12T00:00:00, 6, 1 
141616, 2011, Christians (Indonesia) - Muslims (Indonesia), Indonesia, 2011-09-12T00:00:00, 1, 2 
141806, 1994, Indonesia:East Timor, Indonesia, 1994-09-28T00:00:00, 4, 1 
141807, 1995, Indonesia:East Timor, Indonesia, 1995-05-13T00:00:00, 1, 1 
141812, 1995, Indonesia:East Timor, Indonesia, 1995-01-28T00:00:00, 2, 1 
141813, 1995, Indonesia:East Timor, Indonesia, 1995-07-07T00:00:00, 3, 1 
141814, 1995, Indonesia:East Timor, Indonesia, 1995-05-10T00:00:00, 2, 1 
141822, 1996, Indonesia:East Timor, Indonesia, 1996-01-26T00:00:00, 5, 1 
141823, 1996, Indonesia:East Timor, Indonesia, 1996-06-24T00:00:00, 0, 1 
141824, 1996, Indonesia:East Timor, Indonesia, 1996-10-26T00:00:00, 1, 1 
141833, 1989, Indonesia:Aceh, Indonesia, 1989-04-20T00:00:00, 1, 1 
141834, 1989, Indonesia:Aceh, Indonesia, 1989-09-26T00:00:00, 1, 1 
141837, 1989, Indonesia:Aceh, Indonesia, 1989-08-01T00:00:00, 2, 1 
141863, 1992, Indonesia:Aceh, Indonesia, 1992-04-03T00:00:00, 1, 1 
141864, 1992, Indonesia:Aceh, Indonesia, 1992-02-12T00:00:00, 1, 1 
141865, 1992, Indonesia:Aceh, Indonesia, 1992-12-16T00:00:00, 3, 1 
141866, 1993, Indonesia:Aceh, Indonesia, 1993-07-22T00:00:00, 2, 1 
141867, 1994, Indonesia:Aceh, Indonesia, 1994-04-15T00:00:00, 1, 1 
163844, 2004, Jemaah Islamiya - Civilians, Indonesia, 2004-09-09T00:00:00, 10, 3 
164041, 1996, Government of Indonesia - Civilians, Indonesia, 1996-01-01T00:00:00, 5, 3 
164042, 1996, Government of Indonesia - Civilians, Indonesia, 1996-01-01T00:00:00, 1, 3 
164044, 1996, Government of Indonesia - Civilians, Indonesia, 1996-01-01T00:00:00, 1, 3 
164045, 1996, Government of Indonesia - Civilians, Indonesia, 1996-01-01T00:00:00, 2, 3 
120913, 2002, GAM - Civilians, Indonesia, 2002-01-01T00:00:00, 0, 3 
129093, 2002, GAM - Civilians, Indonesia, 2002-03-22T00:00:00, 2, 3 
141079, 2005, Jemaah Islamiya - Civilians, Indonesia, 2005-10-01T00:00:00, 20, 3 
141685, 2008, Government of Indonesia - Civilians, Indonesia, 2008-05-24T00:00:00, 1, 3 
141794, 1993, Indonesia:East Timor, Indonesia, 1993-07-28T00:00:00, 10, 1 
141804, 1993, Indonesia:East Timor, Indonesia, 1993-02-17T00:00:00, 2, 1 
141832, 1989, Indonesia:Aceh, Indonesia, 1989-05-30T00:00:00, 2, 1 
163110, 2004, Government of Indonesia - Civilians, Indonesia, 2004-02-02T00:00:00, 2, 3 
163695, 2003, Government of Indonesia - Civilians, Indonesia, 2003-05-27T00:00:00, 1, 3 
163841, 2004, Government of Indonesia - Civilians, Indonesia, 2004-09-07T00:00:00, 0, 3 
113980, 2003, GAM - Civilians, Indonesia, 2003-12-31T00:00:00, 0, 3 
113981, 2004, Indonesia:Aceh, Indonesia, 2004-01-03T00:00:00, 10, 1 
113982, 2004, GAM - Civilians, Indonesia, 2004-07-03T00:00:00, 1, 3 
113983, 2004, Indonesia:Aceh, Indonesia, 2004-01-04T00:00:00, 1, 1 
113984, 2004, Indonesia:Aceh, Indonesia, 2004-01-04T00:00:00, 1, 1 
120918, 2002, Indonesia:Aceh, Indonesia, 2002-01-08T00:00:00, 2, 1 
120919, 2002, Indonesia:Aceh, Indonesia, 2002-01-08T00:00:00, 8, 1 
